Date,Price
00/01/00/01/01/2026,509.54
00/01/00/02/01/2026,511.38
00/01/00/05/01/2026,525.23
00/01/00/06/01/2026,530.81
00/01/00/07/01/2026,526.30
00/01/00/08/01/2026,528.89
00/01/00/09/01/2026,532.65
00/01/00/12/01/2026,542.90
00/01/00/13/01/2026,541.68
00/01/00/14/01/2026,546.61
00/01/00/15/01/2026,545.12
00/01/00/16/01/2026,542.65
00/01/00/19/01/2026,551.58
00/01/00/20/01/2026,562.55
00/01/00/21/01/2026,572.45
52/04/21/21/01/2026,572.18
53/04/21/21/01/2026,572.18
57/04/21/21/01/2026,572.15
09/08/21/21/01/2026,572.62
10/08/21/21/01/2026,572.57
13/08/21/21/01/2026,572.60
36/08/21/21/01/2026,572.57
57/08/21/21/01/2026,572.57
36/09/21/21/01/2026,572.68
58/09/21/21/01/2026,572.65
06/18/21/21/01/2026,572.43
10/18/21/21/01/2026,572.42
13/18/21/21/01/2026,572.42
58/18/21/21/01/2026,572.46
14/19/21/21/01/2026,572.62
58/19/21/21/01/2026,572.59
13/20/21/21/01/2026,572.51
58/20/21/21/01/2026,572.58
13/21/21/21/01/2026,572.72
38/44/21/21/01/2026,562.81
38/44/21/21/01/2026,562.81
41/44/21/21/01/2026,562.81
41/44/21/21/01/2026,562.81
42/44/21/21/01/2026,562.81
42/45/21/21/01/2026,563.22
42/46/21/21/01/2026,562.89
42/47/21/21/01/2026,563.09
45/48/21/21/01/2026,563.91
53/51/21/21/01/2026,562.03
56/51/21/21/01/2026,562.03
49/52/21/21/01/2026,562.65
06/56/21/21/01/2026,563.54
00/02/22/21/01/2026,565.09
03/02/22/21/01/2026,565.00
25/02/22/21/01/2026,565.01
56/12/22/21/01/2026,564.34
16/13/22/21/01/2026,564.97
31/13/22/21/01/2026,565.01
30/14/22/21/01/2026,564.70
30/15/22/21/01/2026,565.35
43/18/22/21/01/2026,566.36
44/18/22/21/01/2026,566.36
13/19/22/21/01/2026,566.15
30/19/22/21/01/2026,566.35
30/20/22/21/01/2026,566.51
30/21/22/21/01/2026,566.64
53/47/20/22/01/2026,580.10
56/47/20/22/01/2026,580.12
57/47/20/22/01/2026,580.12
57/48/20/22/01/2026,580.26
57/10/21/22/01/2026,581.09
57/12/21/22/01/2026,581.30
57/13/21/22/01/2026,581.31
57/14/21/22/01/2026,581.39
57/15/21/22/01/2026,581.26
57/16/21/22/01/2026,581.33
57/17/21/22/01/2026,581.19
47/12/23/22/01/2026,581.22
19/20/16/23/01/2026,583.68
22/20/16/23/01/2026,583.68
22/21/16/23/01/2026,583.93
22/22/16/23/01/2026,583.89
59/23/16/23/01/2026,583.60
16/16/17/23/01/2026,584.36
01/17/17/23/01/2026,584.21
59/30/17/23/01/2026,584.43
30/31/17/23/01/2026,584.54
00/07/18/23/01/2026,586.03
00/07/18/23/01/2026,586.03
03/07/18/23/01/2026,586.17
41/07/18/23/01/2026,586.05
41/08/18/23/01/2026,586.30
41/09/18/23/01/2026,586.49
46/09/18/23/01/2026,586.53
41/10/18/23/01/2026,587.22
41/11/18/23/01/2026,587.52
34/12/18/23/01/2026,587.32
09/13/18/23/01/2026,587.11
36/25/21/24/01/2026,588.90
39/25/21/24/01/2026,588.90
41/25/21/24/01/2026,588.90
42/25/21/24/01/2026,588.90
01/26/21/24/01/2026,588.90
27/26/21/24/01/2026,588.90
37/26/21/24/01/2026,588.90
17/42/21/24/01/2026,588.90
22/42/21/24/01/2026,588.90
25/42/21/24/01/2026,588.90
28/42/21/24/01/2026,588.90
40/42/21/24/01/2026,588.90
47/42/21/24/01/2026,588.90
47/42/21/24/01/2026,588.90
51/42/21/24/01/2026,588.90
56/42/21/24/01/2026,588.90
09/24/15/25/01/2026,588.90
12/24/15/25/01/2026,588.90
15/24/15/25/01/2026,588.90
29/24/15/25/01/2026,588.90
44/24/15/25/01/2026,588.90
57/24/15/25/01/2026,588.90
06/25/15/25/01/2026,588.90
12/25/15/25/01/2026,588.90
31/25/15/25/01/2026,588.90
23/26/15/25/01/2026,588.90
29/26/15/25/01/2026,588.90
29/27/15/25/01/2026,588.90
38/27/15/25/01/2026,588.90
29/28/15/25/01/2026,588.90
29/29/15/25/01/2026,588.90
29/30/15/25/01/2026,588.90
29/30/15/25/01/2026,588.90
06/36/15/25/01/2026,588.90
18/36/15/25/01/2026,588.90
22/36/15/25/01/2026,588.90
32/36/15/25/01/2026,588.90
19/37/15/25/01/2026,588.90
05/38/15/25/01/2026,588.90
19/38/15/25/01/2026,588.90
40/38/15/25/01/2026,588.90
18/39/15/25/01/2026,588.90
19/40/15/25/01/2026,588.90
43/40/15/25/01/2026,588.90
00/41/15/25/01/2026,588.90
00/42/15/25/01/2026,588.90
00/43/15/25/01/2026,588.90
00/44/15/25/01/2026,588.90
00/45/15/25/01/2026,588.90
00/46/15/25/01/2026,588.90
00/47/15/25/01/2026,588.90
00/48/15/25/01/2026,588.90
00/49/15/25/01/2026,588.90
01/50/15/25/01/2026,588.90
00/51/15/25/01/2026,588.90
00/52/15/25/01/2026,588.90
49/52/15/25/01/2026,588.90
53/52/15/25/01/2026,588.90
08/53/15/25/01/2026,588.90
12/53/15/25/01/2026,588.90
25/53/15/25/01/2026,588.90
32/53/15/25/01/2026,588.90
49/53/15/25/01/2026,588.90
53/53/15/25/01/2026,588.90
58/53/15/25/01/2026,588.90
04/54/15/25/01/2026,588.90
18/32/16/25/01/2026,588.90
26/32/16/25/01/2026,588.90
27/33/16/25/01/2026,588.90
27/34/16/25/01/2026,588.90
27/35/16/25/01/2026,588.90
25/39/16/25/01/2026,588.90
37/39/16/25/01/2026,588.90
42/39/16/25/01/2026,588.90
17/41/16/25/01/2026,588.90
26/41/16/25/01/2026,588.90
54/41/16/25/01/2026,588.90
22/51/16/25/01/2026,588.90
44/51/16/25/01/2026,588.90
41/52/16/25/01/2026,588.90
47/52/16/25/01/2026,588.90
27/59/16/25/01/2026,588.90
31/59/16/25/01/2026,588.90
31/00/17/25/01/2026,588.90
34/00/17/25/01/2026,588.90
19/33/17/25/01/2026,588.90
26/33/17/25/01/2026,588.90
31/33/17/25/01/2026,588.90
05/34/17/25/01/2026,588.90
39/02/20/25/01/2026,588.90
45/02/20/25/01/2026,588.90
55/03/20/25/01/2026,588.90
22/12/20/25/01/2026,588.90
25/12/20/25/01/2026,588.90
57/12/20/25/01/2026,588.90
10/13/20/25/01/2026,588.90
12/13/20/25/01/2026,588.90
31/13/20/25/01/2026,588.90
58/13/20/25/01/2026,588.90
11/14/20/25/01/2026,588.90
28/14/20/25/01/2026,588.90
59/14/20/25/01/2026,588.90
35/15/20/25/01/2026,588.90
55/15/20/25/01/2026,588.90
35/16/20/25/01/2026,588.90
56/16/20/25/01/2026,588.90
35/17/20/25/01/2026,588.90
57/17/20/25/01/2026,588.90
35/18/20/25/01/2026,588.90
58/18/20/25/01/2026,588.90
35/19/20/25/01/2026,588.90
39/19/20/25/01/2026,588.90
44/19/20/25/01/2026,588.90
59/19/20/25/01/2026,588.90
25/20/20/25/01/2026,588.90
25/56/20/25/01/2026,588.90
26/56/20/25/01/2026,588.90
35/56/20/25/01/2026,588.90
26/57/20/25/01/2026,588.90
36/57/20/25/01/2026,588.90
26/58/20/25/01/2026,588.90
03/01/21/25/01/2026,588.90
40/01/21/25/01/2026,588.90
55/01/21/25/01/2026,588.90
03/02/21/25/01/2026,588.90
08/04/21/25/01/2026,588.90
17/04/21/25/01/2026,588.90
22/04/21/25/01/2026,588.90
06/56/17/27/01/2026,600.40
12/56/17/27/01/2026,600.45
36/56/17/27/01/2026,600.37
36/57/17/27/01/2026,600.56
36/58/17/27/01/2026,600.30
36/59/17/27/01/2026,600.72
24/15/18/27/01/2026,601.70
26/15/18/27/01/2026,601.69
33/15/18/27/01/2026,601.74
20/20/18/27/01/2026,602.64
04/45/18/27/01/2026,600.94
06/45/18/27/01/2026,600.91
27/45/18/27/01/2026,600.94
04/50/18/27/01/2026,600.93
06/50/18/27/01/2026,600.93
12/50/18/27/01/2026,601.04
06/51/18/27/01/2026,601.22
18/51/18/27/01/2026,601.11
27/51/18/27/01/2026,601.29
06/52/18/27/01/2026,601.11
43/52/18/27/01/2026,600.95
06/53/18/27/01/2026,600.79
41/53/18/27/01/2026,600.94
41/54/18/27/01/2026,600.81
27/55/18/27/01/2026,601.00
41/55/18/27/01/2026,600.74
35/58/18/27/01/2026,600.60
27/59/18/27/01/2026,600.95
35/59/18/27/01/2026,600.85
35/00/19/27/01/2026,600.54
27/01/19/27/01/2026,600.50
36/01/19/27/01/2026,600.52
36/02/19/27/01/2026,600.91
44/02/19/27/01/2026,600.82
29/03/19/27/01/2026,600.64
36/03/19/27/01/2026,600.61
